file	identifier
allyears_cell.fasta	S1_|_A_CALIFORNIA_84_2015
allyears_cell.fasta	M1_C2_|_A_INDIANA_04_2012
allyears_cell.fasta	C2_|_A_ARIZONA_08_2013
allyears_cell.fasta	C1_|_A_BARBADOS_170_2010
allyears_cell.fasta	C1_|_A_LOUISIANA_04_2010
allyears_cell.fasta	S1_|_A_NEBRASKA_14_2014
allyears_cell.fasta	C2_|_A_OKLAHOMA_06_2013
allyears_cell.fasta	C1_|_A_WISCONSIN_25_2012
allyears_cell.fasta	S1_|_A_MONTANA_01_2015
allyears_cell.fasta	S1_|_A_MONTANA_02_2015
allyears_cell.fasta	S1_|_A_TEXAS_69_2014
allyears_cell.fasta	S3_|_A_HAWAII_04_2015
allyears_cell.fasta	MX_C1_|_A_SOUTH_CAROLINA_14_2009
allyears_cell.fasta	S1_|_A_PENNSYLVANIA_52_2014
allyears_cell.fasta	S3_|_A_FLORIDA_21_2015
allyears_cell.fasta	X1_S1_|_A_QUEBEC_RV3213_2014
allyears_cell.fasta	S1_|_A_NEVADA_22_2014
allyears_cell.fasta	M1_S2_|_A_NEW_MEXICO_22_2015
allyears_cell.fasta	M1_C1_|_A_GEORGIA_17_2010
allyears_cell.fasta	S1_|_A_MAINE_09_2015
allyears_cell.fasta	S3_|_A_RHODE_ISLAND_25_2015
allyears_cell.fasta	S1_|_A_NEVADA_17_2015
allyears_cell.fasta	S3_|_A_MAINE_05_2015
allyears_cell.fasta	X_C1_|_A_DELAWARE_13_2007
allyears_cell.fasta	MDCK2_|_A_DISTRICT_OF_COLUMBIA_WRAIR0301_2010
allyears_cell.fasta	C2_|_A_WISCONSIN_05_2013
allyears_cell.fasta	S3_|_A_NEBRASKA_02_2015
allyears_cell.fasta	C2_|_A_NEW_MEXICO_15_2014
allyears_cell.fasta	C2_|_A_NEBRASKA_07_2012
allyears_cell.fasta	C2_C1_|_A_HAWAII_05_2009
allyears_cell.fasta	M1_S2_|_A_MICHIGAN_08_2014
allyears_cell.fasta	C1_|_A_HAWAII_25_2012
allyears_cell.fasta	S2_|_A_WISCONSIN_87_2015
allyears_cell.fasta	S1_|_A_CALIFORNIA_17_2014
allyears_cell.fasta	C1_|_A_NEBRASKA_15_2011
allyears_cell.fasta	M1_C2_|_A_VERMONT_04_2014
allyears_cell.fasta	S1_|_A_INDIANA_25_2014
allyears_cell.fasta	S1_|_A_INDIANA_25_2015
allyears_cell.fasta	M1_C2_|_A_VERMONT_04_2012
allyears_cell.fasta	S3_|_A_OKLAHOMA_05_2015
allyears_cell.fasta	C2_|_A_RHODE_ISLAND_18_2014
allyears_cell.fasta	M1_|_A_NEW_YORK_60_2015
allyears_cell.fasta	S1_|_A_NEVADA_30_2014
allyears_cell.fasta	S3_|_A_TEXAS_89_2014
allyears_cell.fasta	S3_|_A_DELAWARE_12_2015
allyears_cell.fasta	X1_C1_|_A_COSTA_RICA_8211_2011
allyears_cell.fasta	S2_|_A_WISCONSIN_21_2014
allyears_cell.fasta	S2_|_A_WISCONSIN_21_2015
allyears_cell.fasta	C2_|_A_TENNESSEE_10_2012
allyears_cell.fasta	X1_|_A_ALBERTA_RV2385_2015
allyears_cell.fasta	C1_|_A_WEST_VIRGINIA_06_2013
allyears_cell.fasta	MX_C1_|_A_NEW_JERSEY_07_2008
allyears_cell.fasta	X1_|_A_ALBERTA_RV2386_2015
allyears_cell.fasta	S3_|_A_HAWAII_12_2015
allyears_cell.fasta	S1_|_A_FLORIDA_40_2014
allyears_cell.fasta	M2_S1_|_A_NORTH_DAKOTA_03_2015
allyears_cell.fasta	M1_C2_|_A_NEW_JERSEY_04_2010
allyears_cell.fasta	S1_|_A_DELAWARE_25_2014
allyears_cell.fasta	C1_|_A_WEST_VIRGINIA_05_2011
allyears_cell.fasta	C1_|_A_WEST_VIRGINIA_05_2013
allyears_cell.fasta	C1_|_A_MONTANA_14_2012
allyears_cell.fasta	MX_C2_|_A_SOUTH_DAKOTA_03_2011
allyears_cell.fasta	C1_C1_|_A_WASHINGTON_21_2012
allyears_cell.fasta	C1_|_A_HONDURAS_2426_2009
allyears_cell.fasta	C2_|_A_NEVADA_04_2013
allyears_cell.fasta	M1_|_A_MARYLAND_24_2014
allyears_cell.fasta	X_C2_|_A_KENTUCKY_02_2011
allyears_cell.fasta	C1_C2_|_A_WISCONSIN_26_2007
allyears_cell.fasta	M1_C1_|_A_IDAHO_20_2012
allyears_cell.fasta	S3_|_A_CALIFORNIA_09_2015
allyears_cell.fasta	S3_|_A_MISSISSIPPI_17_2014
allyears_cell.fasta	S1_|_A_WISCONSIN_20_2015
allyears_cell.fasta	M1_S1_|_A_GEORGIA_07_2015
allyears_cell.fasta	S2_|_A_WASHINGTON_51_2015
allyears_cell.fasta	M1_C1_|_A_INDIANA_02_2009
allyears_cell.fasta	S1_|_A_TEXAS_04_2015
allyears_cell.fasta	S1_|_A_ALASKA_159_2015
allyears_cell.fasta	C2_|_A_RHODE_ISLAND_08_2012
allyears_cell.fasta	S2_|_A_FLORIDA_12_2015
allyears_cell.fasta	C1_|_A_DOMINICAN_REPUBLIC_6334_2012
allyears_cell.fasta	C1_|_A_PENNSYLVANIA_28_2014
allyears_cell.fasta	C2_|_A_ALABAMA_08_2010
allyears_cell.fasta	S2_|_A_NEW_JERSEY_50_2015
allyears_cell.fasta	C2_C1_|_A_CALIFORNIA_12_2008
allyears_cell.fasta	MX_S1_|_A_NORTH_CAROLINA_41_2014
allyears_cell.fasta	C2_|_A_ARIZONA_07_2012
allyears_cell.fasta	C2_|_A_MASSACHUSETTS_11_2011
allyears_cell.fasta	S1_|_A_IDAHO_01_2015
allyears_cell.fasta	S3_|_A_HAWAII_62_2014
allyears_cell.fasta	S1_|_A_MISSOURI_02_2015
allyears_cell.fasta	S1_|_A_NEBRASKA_15_2014
allyears_cell.fasta	S3_|_A_WASHINGTON_58_2014
allyears_cell.fasta	MDCK_3_|_A_NEW_YORK_928_2006
allyears_cell.fasta	X1_|_A_ALBERTA_RV2373_2015
allyears_cell.fasta	C2_|_A_IOWA_22_2012
allyears_cell.fasta	C2_|_A_EL_SALVADOR_1318_2010
allyears_cell.fasta	S3_|_A_KANSAS_06_2015
allyears_cell.fasta	S1_|_A_KANSAS_11_2014
allyears_cell.fasta	C2_|_A_MONTANA_27_2013
allyears_cell.fasta	S3_|_A_INDIANA_20_2014
allyears_cell.fasta	C1_C1_|_A_HAWAII_02_2012
allyears_cell.fasta	MX_C1_|_A_MONTANA_05_2011
allyears_cell.fasta	MX_C1_|_A_MONTANA_05_2010
allyears_cell.fasta	C1_|_A_CONNECTICUT_03_2014
allyears_cell.fasta	S3_|_A_NEW_JERSEY_08_2015
allyears_cell.fasta	S3_|_A_WASHINGTON_32_2015
allyears_cell.fasta	S2_|_A_NEW_YORK_36_2014
allyears_cell.fasta	S1_|_A_TENNESSEE_16_2009
allyears_cell.fasta	C2_|_A_IOWA_01_2012
allyears_cell.fasta	M2_C1_|_A_WASHINGTON_19_2009
allyears_cell.fasta	M1_C2_|_A_NORTH_CAROLINA_13_2010
allyears_cell.fasta	M1_C2_|_A_VERMONT_03_2010
allyears_cell.fasta	S1_|_A_DELAWARE_22_2015
allyears_cell.fasta	C1_|_A_KANSAS_01_2013
allyears_cell.fasta	S3_|_A_WEST_VIRGINIA_04_2015
allyears_cell.fasta	C1_C1_|_A_ALABAMA_35_2012
allyears_cell.fasta	M1_C2_|_A_OREGON_12_2011
allyears_cell.fasta	S2_|_A_CALIFORNIA_19_2015
allyears_cell.fasta	C2_|_A_TEXAS_06_2011
allyears_cell.fasta	C2_|_A_PENNSYLVANIA_26_2014
allyears_cell.fasta	C2_|_A_LOUISIANA_01_2013
allyears_cell.fasta	C2_C1_|_A_NEW_YORK_16_2012
allyears_cell.fasta	C2_|_A_LOUISIANA_01_2011
allyears_cell.fasta	M1_C1_|_A_NEW_MEXICO_09_2013
allyears_cell.fasta	M1_C1_|_A_NEW_MEXICO_09_2011
allyears_cell.fasta	S1_|_A_WISCONSIN_69_2014
allyears_cell.fasta	C3_|_A_MISSISSIPPI_05_2011
allyears_cell.fasta	X_C1_|_A_PENNSYLVANIA_05_2009
allyears_cell.fasta	S2_|_A_DELAWARE_03_2015
allyears_cell.fasta	C2_|_A_DELAWARE_02_2012
allyears_cell.fasta	C2_|_A_MAINE_04_2012
allyears_cell.fasta	C1_|_A_WASHINGTON_04_2013
allyears_cell.fasta	C2_|_A_VIRGINIA_12_2012
allyears_cell.fasta	C2_|_A_CONNECTICUT_05_2011
allyears_cell.fasta	C2_S1_|_A_MEXICO_2777_2014
allyears_cell.fasta	S3_|_A_IOWA_31_2014
allyears_cell.fasta	S2_|_A_MINNESOTA_22_2014
allyears_cell.fasta	S1_|_A_ALABAMA_01_2015
allyears_cell.fasta	MX_S1_|_A_KENTUCKY_14_2014
allyears_cell.fasta	S3_|_A_FLORIDA_23_2015
allyears_cell.fasta	S2_|_A_NEW_YORK_55_2015
allyears_cell.fasta	M1_C1_|_A_VERMONT_15_2011
allyears_cell.fasta	S3_|_A_IDAHO_13_2015
allyears_cell.fasta	M1_C1_|_A_NEW_YORK_01_2012
allyears_cell.fasta	C1_|_A_WASHINGTON_18_2011
allyears_cell.fasta	XMDCK2_|_A_PANAMA_2007_1999
allyears_cell.fasta	C1_|_A_MONTANA_01_2013
allyears_cell.fasta	M1_|_A_VIRGINIA_51_2014
allyears_cell.fasta	S1_|_A_COLORADO_02_2015
allyears_cell.fasta	C1_|_A_NEBRASKA_04_2014
allyears_cell.fasta	S1_|_A_ILLINOIS_09_2014
allyears_cell.fasta	MDCK2_|_A_SOUTH_DAKOTA_WRAIR1177P_2009
allyears_cell.fasta	C1_|_A_MINNESOTA_01_2013
allyears_cell.fasta	S1_|_A_ALASKA_44_2015
allyears_cell.fasta	C2_|_A_CONNECTICUT_05_2013
allyears_cell.fasta	S2_|_A_MICHIGAN_58_2015
allyears_cell.fasta	M1_C1_|_A_IDAHO_18_2008
allyears_cell.fasta	S3_|_A_OKLAHOMA_16_2015
allyears_cell.fasta	C2_|_A_NEW_YORK_14_2014
allyears_cell.fasta	M1_C2_|_A_NORTH_CAROLINA_34_2009
allyears_cell.fasta	C2_|_A_NEW_YORK_14_2011
allyears_cell.fasta	S3_|_A_CALIFORNIA_54_2014
allyears_cell.fasta	S2_|_A_FLORIDA_41_2014
allyears_cell.fasta	S1_|_A_WISCONSIN_14_2014
allyears_cell.fasta	S1_|_A_CALIFORNIA_18_2014
allyears_cell.fasta	C1_S1_|_A_TENNESSEE_02_2015
allyears_cell.fasta	S1_|_A_IOWA_06_2015
allyears_cell.fasta	C2_|_A_CALIFORNIA_49_2012
allyears_cell.fasta	C2_|_A_CALIFORNIA_47_2013
allyears_cell.fasta	S3_|_A_WYOMING_20_2014
allyears_cell.fasta	C2_|_A_OREGON_34_2009
allyears_cell.fasta	MDCK2_|_A_ALASKA_WRAIR1172P_2009
allyears_cell.fasta	M1_C2_|_A_MASSACHUSETTS_05_2011
allyears_cell.fasta	X1_C1_|_A_BRITISH_COLUMBIA_4791_2011
allyears_cell.fasta	S1_|_A_ARKANSAS_02_2014
allyears_cell.fasta	S3_|_A_HAWAII_23_2015
allyears_cell.fasta	C2_|_A_KENTUCKY_06_2012
allyears_cell.fasta	S3_|_A_TEXAS_61_2015
allyears_cell.fasta	C2_|_A_WISCONSIN_36_2013
allyears_cell.fasta	S2_|_A_IOWA_40_2015
allyears_cell.fasta	MX_C1_|_A_INDIANA_06_2011
allyears_cell.fasta	S3_|_A_FLORIDA_28_2015
allyears_cell.fasta	X_C1_|_A_TEXAS_03_2008
allyears_cell.fasta	S3_|_A_NEVADA_06_2015
allyears_cell.fasta	C2_|_A_WASHINGTON_46_2013
allyears_cell.fasta	C3_|_A_MEMPHIS_2_85
allyears_cell.fasta	C1_|_A_NEVADA_07_2013
allyears_cell.fasta	S3_|_A_RHODE_ISLAND_14_2015
allyears_cell.fasta	C1_|_A_UTAH_14_2011
allyears_cell.fasta	S1_|_A_ALASKA_29_2009
allyears_cell.fasta	X1_C1_|_A_SOUTH_DAKOTA_02_2010
allyears_cell.fasta	MDCK_1_|_A_NEW_YORK_938_2006
allyears_cell.fasta	S2_|_A_NEW_HAMPSHIRE_10_2015
allyears_cell.fasta	MDCK_1_|_A_MANAGUA_34_2007
allyears_cell.fasta	C2_C1_|_A_MEXICO_4079_2010
allyears_cell.fasta	M1_S1_|_A_VERMONT_22_2014
allyears_cell.fasta	X_C4_|_A_TEXAS_12_2007
allyears_cell.fasta	S3_|_A_COLORADO_13_2015
allyears_cell.fasta	S2_|_A_FLORIDA_71_2015
allyears_cell.fasta	MDCK_1_|_A_NEW_YORK_933_2006
allyears_cell.fasta	C2_|_A_GEORGIA_03_2013
allyears_cell.fasta	C2_C1_|_A_IOWA_01_2008
allyears_cell.fasta	C2_|_A_WYOMING_03_2013
allyears_cell.fasta	C2_|_A_WYOMING_03_2010
allyears_cell.fasta	C2_|_A_HAWAII_13_2012
allyears_cell.fasta	S3_|_A_KANSAS_05_2015
allyears_cell.fasta	C2_|_A_DOMINICAN_REPUBLIC_3743_2009
allyears_cell.fasta	S3_|_A_LOUISIANA_38_2014
allyears_cell.fasta	S2_|_A_FLORIDA_79_2015
allyears_cell.fasta	MDCK_3_|_A_MANAGUA_3616_01_2007
allyears_cell.fasta	M1_C1_|_A_GEORGIA_24_2009
allyears_cell.fasta	M1_C2_|_A_MARYLAND_10_2008
allyears_cell.fasta	M1_C1_|_A_MASSACHUSETTS_01_2014
allyears_cell.fasta	C2_|_A_PENNSYLVANIA_21_2012
allyears_cell.fasta	C2_|_A_MINNESOTA_02_2014
allyears_cell.fasta	C2_|_A_MINNESOTA_02_2012
allyears_cell.fasta	S3_|_A_NEW_HAMPSHIRE_12_2015
allyears_cell.fasta	C2_|_A_WYOMING_05_2014
allyears_cell.fasta	M1_C1_|_A_NEW_MEXICO_23_2013
allyears_cell.fasta	M1_C1_|_A_NEW_MEXICO_23_2012
allyears_cell.fasta	C2_C1_|_A_TRINIDAD_3558_2013
allyears_cell.fasta	S1_|_A_ALASKA_06_2014
allyears_cell.fasta	S1_|_A_HAWAII_65_2014
allyears_cell.fasta	M1_S1_|_A_MICHIGAN_07_2014
allyears_cell.fasta	S3_|_A_SOUTH_CAROLINA_07_2015
allyears_cell.fasta	MDCK_2_|_A_MANAGUA_2_2007
allyears_cell.fasta	M1_S1_|_A_VERMONT_12_2014
allyears_cell.fasta	S3_|_A_MINNESOTA_37_2014
allyears_cell.fasta	C1_|_A_PENNSYLVANIA_07_2006
allyears_cell.fasta	S2_|_A_IOWA_14_2015
allyears_cell.fasta	S3_|_A_NEW_JERSEY_32_2014
allyears_cell.fasta	X1_S1_|_A_ALBERTA_RV3588_2014
allyears_cell.fasta	X1_C1_|_A_ONTARIO_RV2070_2014
allyears_cell.fasta	X1_C2_|_A_CANADA_267_2007
allyears_cell.fasta	C2_|_A_CALIFORNIA_32_2012
allyears_cell.fasta	S1_|_A_SOUTH_DAKOTA_11_2015
allyears_cell.fasta	C2_|_A_NORTH_CAROLINA_01_2012
allyears_cell.fasta	S1_|_A_SOUTH_DAKOTA_14_2015
allyears_cell.fasta	MX_C2_|_A_FLORIDA_21_2010
allyears_cell.fasta	C2_|_A_TEXAS_21_2014
allyears_cell.fasta	CX_|_A_MARYLAND_18_2014
allyears_cell.fasta	C2_|_A_WASHINGTON_17_2012
allyears_cell.fasta	S3_|_A_HAWAII_24_2015
allyears_cell.fasta	MX_C1_|_A_MINNESOTA_02_2008
allyears_cell.fasta	MX_C1_|_A_INDIANA_01_2011
allyears_cell.fasta	C2_|_A_DOMINICAN_REPUBLIC_4319_2010
allyears_cell.fasta	MDCK2_|_A_SANTO_DOMINGO_WRAIR3516N_2010
allyears_cell.fasta	C1_|_A_NEW_JERSEY_18_2014
allyears_cell.fasta	M1_C1_|_A_GEORGIA_04_2012
allyears_cell.fasta	M1_C1_|_A_NEVADA_01_2012
allyears_cell.fasta	S1_|_A_MICHIGAN_30_2014
allyears_cell.fasta	X_C1_|_A_OHIO_01_2011
allyears_cell.fasta	S3_|_A_WASHINGTON_29_2015
allyears_cell.fasta	M1_C1_|_A_IDAHO_05_2011
allyears_cell.fasta	S1_|_A_MISSOURI_04_2015
allyears_cell.fasta	S3_|_A_RHODE_ISLAND_17_2015
allyears_cell.fasta	S1_|_A_UTAH_03_2015
allyears_cell.fasta	S2_|_A_MONTANA_04_2015
allyears_cell.fasta	S3_|_A_MICHIGAN_32_2014
allyears_cell.fasta	S1_|_A_FLORIDA_91_2014
allyears_cell.fasta	S2_|_A_NEBRASKA_18_2015
allyears_cell.fasta	C2_|_A_WISCONSIN_55_2013
allyears_cell.fasta	C1_|_A_DELAWARE_01_2013
allyears_cell.fasta	C2_|_A_WISCONSIN_55_2012
allyears_cell.fasta	S1_|_A_RHODE_ISLAND_24_2015
allyears_cell.fasta	M1_S1_|_A_NORTH_CAROLINA_02_2015
allyears_cell.fasta	S2_|_A_MISSOURI_13_2014
allyears_cell.fasta	C2_|_A_MEXICO_5824_2009
allyears_cell.fasta	C2_|_A_MICHIGAN_25_2012
allyears_cell.fasta	C2_|_A_MICHIGAN_25_2013
allyears_cell.fasta	S3_|_A_MINNESOTA_29_2015
allyears_cell.fasta	C2_|_A_UTAH_04_2012
allyears_cell.fasta	S1_|_A_RHODE_ISLAND_22_2014
allyears_cell.fasta	C2_|_A_TEXAS_13_2014
allyears_cell.fasta	S3_|_A_HAWAII_19_2015
allyears_cell.fasta	S3_|_A_UTAH_35_2014
allyears_cell.fasta	S1_|_A_ALASKA_86_2015
allyears_cell.fasta	M1_C1_|_A_INDIANA_09_2011
allyears_cell.fasta	X_C1_|_A_MICHIGAN_07_2007
allyears_cell.fasta	X_C1_|_A_MASSACHUSETTS_02_2009
allyears_cell.fasta	C2_|_A_CALIFORNIA_14_2014
allyears_cell.fasta	M1_C1_|_A_KENTUCKY_18_2012
allyears_cell.fasta	SIAT2_SIAT1_|_A_NORTH_CAROLINA_13_2014
allyears_cell.fasta	C2_C2_|_A_COSTA_RICA_6696_2010
allyears_cell.fasta	C1_|_A_HONDURAS_2243_2009
allyears_cell.fasta	X2_C2_|_A_GUATEMALA_494_2008
allyears_cell.fasta	M1_C1_|_A_FLORIDA_11_2010
allyears_cell.fasta	C2_|_A_MASSACHUSETTS_06_2013
allyears_cell.fasta	S1_|_A_NEW_YORK_19_2014
allyears_cell.fasta	S1_|_A_NEW_YORK_19_2015
allyears_cell.fasta	C1_S1_|_A_NEW_HAMPSHIRE_03_2015
allyears_cell.fasta	CX_C1_|_A_WISCONSIN_02_2008
allyears_cell.fasta	M1_S2_|_A_NORTH_DAKOTA_14_2014
allyears_cell.fasta	S1_|_A_OREGON_34_2009
allyears_cell.fasta	MX_C1_|_A_INDIANA_02_2008
allyears_cell.fasta	M1_C2_|_A_MASSACHUSETTS_06_2014
allyears_cell.fasta	M1_C2_|_A_KENTUCKY_12_2010
allyears_cell.fasta	C2_|_A_DELAWARE_10_2014
allyears_cell.fasta	S2_|_A_NEW_YORK_18_2014
allyears_cell.fasta	C2_|_A_RHODE_ISLAND_13_2014
allyears_cell.fasta	C2_|_A_MINNESOTA_10_2012
allyears_cell.fasta	MDCK3_|_A_TEXAS_WRAIR1558P_2009
allyears_cell.fasta	C1_|_A_HAWAII_21_2012
allyears_cell.fasta	X1_C2_|_A_QUEBEC_RV1069_2009
allyears_cell.fasta	S3_|_A_NEVADA_04_2015
allyears_cell.fasta	MX_C2_|_A_KENTUCKY_07_2014
allyears_cell.fasta	C1_|_A_NEW_JERSEY_03_2014
allyears_cell.fasta	C1_|_A_WISCONSIN_02_2007
allyears_cell.fasta	MDCK2_|_A_FLORIDA_WRAIR1241P_2009
allyears_cell.fasta	MX_C1_|_A_NEW_JERSEY_14_2007
allyears_cell.fasta	PASSAGE_DETAILS__P1_MDCK_|_A_QUEBEC_26_031205_2005
allyears_cell.fasta	MDCK_2_|_A_MANAGUA_68_01_2007
allyears_cell.fasta	C2_|_A_WISCONSIN_46_2013
allyears_cell.fasta	M1_C1_|_A_IDAHO_03_2013
allyears_cell.fasta	M1_C1_|_A_MINNESOTA_18_2011
allyears_cell.fasta	MX_C1_|_A_MONTANA_05_2009
allyears_cell.fasta	M1_C1_|_A_TEXAS_01_2013
allyears_cell.fasta	MDCK_3_|_A_MANAGUA_3243_01_2007
allyears_cell.fasta	C2_|_A_MICHIGAN_22_2013
allyears_cell.fasta	S1_|_A_NORTH_CAROLINA_24_2014
allyears_cell.fasta	S2_|_A_WASHINGTON_61_2014
allyears_cell.fasta	X_C1_|_A_NEVADA_06_2009
allyears_cell.fasta	C2_|_A_NEVADA_19_2012
allyears_cell.fasta	S1_|_A_WASHINGTON_13_2015
allyears_cell.fasta	C1_|_A_WEST_VIRGINIA_10_2013
allyears_cell.fasta	C1_|_A_PUERTO_RICO_01_2010
allyears_cell.fasta	M1_C3_|_A_MONTANA_16_2009
allyears_cell.fasta	C1_C1_|_A_FLORIDA_46_2012
allyears_cell.fasta	S1_|_A_MAINE_04_2014
allyears_cell.fasta	CX_C1_|_A_ARIZONA_08_2009
allyears_cell.fasta	S1_|_A_INDIANA_24_2015
allyears_cell.fasta	S1_|_A_INDIANA_24_2014
allyears_cell.fasta	C2_|_A_UTAH_12_2014
allyears_cell.fasta	C2_|_A_UTAH_12_2012
allyears_cell.fasta	X_C1_|_A_WASHINGTON_12_2011
allyears_cell.fasta	C2_|_A_UTAH_12_2010
allyears_cell.fasta	C2_|_A_UTAH_12_2011
allyears_cell.fasta	S3_|_A_MISSOURI_07_2015
allyears_cell.fasta	X1_C1_|_A_BRITISH_COLUMBIA_RV2820_2012
allyears_cell.fasta	MX_C1_|_A_NEW_JERSEY_19_2007
allyears_cell.fasta	M1_C1_|_A_NORTH_CAROLINA_07_2012
allyears_cell.fasta	S1_|_A_FLORIDA_22_2009
allyears_cell.fasta	C2_|_A_OREGON_12_2012
allyears_cell.fasta	M1_C2_|_A_COLORADO_03_2007
allyears_cell.fasta	C2_|_A_ILLINOIS_13_2012
allyears_cell.fasta	S2_|_A_HAWAII_44_2014
allyears_cell.fasta	C2_|_A_LOUISIANA_01_2008
allyears_cell.fasta	S3_|_A_MAINE_11_2015
allyears_cell.fasta	C1_|_A_COLORADO_11_2014
allyears_cell.fasta	M1_C1_|_A_MICHIGAN_33_2012
allyears_cell.fasta	C1_|_A_COLORADO_12_2014
allyears_cell.fasta	C2_|_A_TENNESSEE_04_2012
allyears_cell.fasta	C2_|_A_NEW_MEXICO_13_2014
allyears_cell.fasta	C1_|_A_OREGON_36_2009
allyears_cell.fasta	C1_S2_|_A_EL_SALVADOR_283_2015
allyears_cell.fasta	S1_|_A_MISSISSIPPI_06_2015
allyears_cell.fasta	MX_S1_|_A_FLORIDA_89_2014
allyears_cell.fasta	C1_C1_|_A_ALABAMA_07_2013
allyears_cell.fasta	MX_C2_|_A_FLORIDA_25_2011
allyears_cell.fasta	S1_|_A_FLORIDA_82_2015
allyears_cell.fasta	C2_|_A_WISCONSIN_19_2011
allyears_cell.fasta	M1_C1_|_A_GEORGIA_05_2011
allyears_cell.fasta	S2_|_A_COLORADO_06_2015
allyears_cell.fasta	M1_S2_|_A_MICHIGAN_60_2015
allyears_cell.fasta	S2_|_A_OREGON_13_2014
allyears_cell.fasta	M1_C1_|_A_VIRGINIA_15_2013
allyears_cell.fasta	C2_C1_|_A_ST__LUCIA_177_2013
allyears_cell.fasta	X1_C1_|_A_ONTARIO_RV2072_2014
allyears_cell.fasta	S3_|_A_MINNESOTA_28_2015
allyears_cell.fasta	C1_|_A_CONNECTICUT_07_2011
allyears_cell.fasta	S2_|_A_ALASKA_239_2015
allyears_cell.fasta	C2_|_A_NORTH_CAROLINA_06_2013
allyears_cell.fasta	X_C2_|_A_SOUTH_CAROLINA_03_2008
allyears_cell.fasta	C1_|_A_TEXAS_24_2013
allyears_cell.fasta	M1_|_A_NORTH_DAKOTA_04_2014
allyears_cell.fasta	X_S1_|_A_WISCONSIN_24_2008
allyears_cell.fasta	C1_C1_|_A_FLORIDA_22_2014
allyears_cell.fasta	S2_|_A_GUADELOUPE_202_2010
allyears_cell.fasta	MDCK_1_|_A_NEW_YORK_900_2004
allyears_cell.fasta	C2_|_A_NEVADA_25_2012
allyears_cell.fasta	C2_|_A_PENNSYLVANIA_4_07
allyears_cell.fasta	C2_|_A_WISCONSIN_54_2012
allyears_cell.fasta	C2_|_A_WISCONSIN_54_2013
allyears_cell.fasta	S1_|_A_KANSAS_12_2014
allyears_cell.fasta	M1_C2_|_A_GEORGIA_07_2008
